Country,Market_Type,Commodity,Price,Currency,Date,Inflation_Rate,Hunger_Index,Year,Month,Price_Shock_Index,Hunger_Risk_Level
Kenya,Rural,Cooking Oil,104.18,PKR,03-03-2023,6.02,31.22,2023,3,43.34067144,High
Nigeria,Urban,Pulses,157.63,BDT,13-09-2021,6.02,31.22,2021,9,,High
Haiti,Wholesale,Wheat,74.24,PKR,05-10-2020,6.02,31.22,2020,10,-9.979386444,High
Yemen,Urban,Maize,95.18,YER,11-05-2018,6.02,31.22,2018,5,-22.83119831,High
Pakistan,Wholesale,Maize,111.17,NPR,20-07-2016,6.02,31.22,2016,7,11.07003697,High
Kenya,Rural,Wheat,93.8,HTG,21-08-2023,6.02,31.22,2023,8,-2.767699803,High
Ethiopia,Rural,Maize,100.48,SDG,19-04-2022,6.02,31.22,2022,4,38.00302156,High
Haiti,Urban,Pulses,129.02,ETB,28-06-2018,6.02,31.22,2018,6,-7.313218391,High
Sudan,Retail,Rice,94.85,NGN,17-07-2021,6.02,31.22,2021,7,-9.924026591,High
Yemen,Retail,Sugar,121.43,YER,06-10-2021,6.02,31.22,2021,10,3.291936033,High
Sudan,Rural,Maize,173.14,BDT,14-03-2016,6.02,31.22,2016,3,92.03637977,High
India,Wholesale,Maize,166.21,KES,27-09-2021,6.02,31.22,2021,9,194.3854056,High
India,Retail,Wheat,27.76,SDG,21-05-2017,6.02,31.22,2017,5,-50.19734482,High
Yemen,Rural,Rice,80.41,BDT,15-05-2020,6.02,31.22,2020,5,39.50381679,High
Yemen,Wholesale,Wheat,111.62,BDT,20-12-2020,6.02,31.22,2020,12,,High
Ethiopia,Wholesale,Pulses,151.12,BDT,12-10-2021,6.02,31.22,2021,10,34.80820696,High
Yemen,Retail,Wheat,108.4,BDT,14-07-2022,6.02,31.22,2022,7,-2.884787672,High
Bangladesh,Rural,Maize,151.19,BDT,17-04-2019,6.02,31.22,2019,4,59.13061783,High
Sudan,Wholesale,Rice,73.22,SDG,22-06-2019,6.02,31.22,2019,6,-22.80442804,High
Kenya,Wholesale,Pulses,113.19,PKR,04-05-2021,6.02,31.22,2021,5,,High
Nepal,Urban,Maize,114.2,ETB,24-11-2020,6.02,31.22,2020,11,-5.102210404,High
Yemen,Urban,Pulses,152.53,KES,07-03-2015,6.02,31.22,2015,3,100.9088514,High
Pakistan,Retail,Maize,136.34,NPR,13-05-2023,6.02,31.22,2023,5,22.64100027,High
India,Urban,Maize,92.42,NGN,11-12-2017,6.02,31.22,2017,12,-44.39564406,High
Bangladesh,Rural,Maize,133.97,BDT,21-07-2022,6.02,31.22,2022,7,-11.38964217,High
Haiti,Retail,Sugar,51.62,NGN,24-05-2021,6.02,31.22,2021,5,-69.97266011,High
Nepal,Retail,Cooking Oil,93.14,SDG,29-03-2021,6.02,31.22,2021,3,72.76943053,High
Kenya,Urban,Rice,59.8,NGN,09-11-2023,6.02,31.22,2023,11,307.079646,High
Nepal,Wholesale,Sugar,73.88,PKR,18-06-2018,6.02,31.22,2018,6,-24.11668036,High
Yemen,Rural,Cooking Oil,93.05,HTG,28-07-2020,6.02,31.22,2020,7,81.24269575,High
Ethiopia,Rural,Pulses,9.74,YER,25-01-2016,6.02,31.22,2016,1,-93.55479089,High
India,Rural,Cooking Oil,94.49,NPR,11-11-2017,6.02,31.22,2017,11,-22.65695343,High
India,Retail,Cooking Oil,68.69,NPR,29-12-2016,6.02,31.22,2016,12,-27.30447666,High
Haiti,Rural,Sugar,57.76,BDT,27-06-2022,6.02,31.22,2022,6,11.89461449,High
Ethiopia,Wholesale,Rice,103.83,INR,04-02-2023,6.02,31.22,2023,2,240.7614047,High
Sudan,Wholesale,Wheat,84.45,NGN,04-10-2024,6.02,31.22,2024,10,41.50469169,High
Nigeria,Urban,Cooking Oil,113.66,SDG,04-09-2019,6.02,31.22,2019,9,19.51629863,High
Bangladesh,Rural,Wheat,74.05,ETB,12-01-2022,6.02,31.22,2022,1,-44.25624812,High
India,Retail,Wheat,92.98,HTG,28-12-2015,6.02,31.22,2015,12,234.9423631,High
Pakistan,Urban,Maize,198.35,PKR,28-02-2015,6.02,31.22,2015,2,45.48188353,High
India,Wholesale,Wheat,124.92,INR,29-04-2016,6.02,31.22,2016,4,34.35147344,High
Nepal,Rural,Pulses,66.16,NGN,29-01-2018,6.02,31.22,2018,1,-65.72553489,High
India,Wholesale,Pulses,149.58,YER,16-11-2019,6.02,31.22,2019,11,-19.12846021,High
India,Urban,Maize,161.94,KES,16-10-2022,6.02,31.22,2022,10,75.22181346,High
Nigeria,Wholesale,Rice,123.95,SDG,06-12-2015,6.02,31.22,2015,12,-6.572699178,High
Nigeria,Rural,Rice,68.72,PKR,30-04-2016,6.02,31.22,2016,4,-44.55828963,High
Kenya,Rural,Pulses,141.32,YER,10-01-2020,6.02,31.22,2020,1,24.85201873,High
Sudan,Urban,Maize,76.91,HTG,29-06-2022,6.02,31.22,2022,6,-55.57929999,High
Pakistan,Rural,Rice,103.275,PKR,05-11-2017,6.02,31.22,2017,11,27.76815539,High
India,Wholesale,Cooking Oil,90.36,KES,09-10-2024,6.02,31.22,2024,10,31.54753239,High
India,Wholesale,Rice,88.82,HTG,01-05-2015,6.02,31.22,2015,5,-21.97821504,High
Bangladesh,Retail,Maize,120.96,YER,30-12-2023,6.02,31.22,2023,12,-9.711129357,High
Nigeria,Retail,Pulses,156.41,PKR,05-07-2021,6.02,31.22,2021,7,-0.773964347,High
Pakistan,Retail,Cooking Oil,194.73,ETB,01-11-2020,6.02,31.22,2020,11,65.27754201,High
Haiti,Wholesale,Wheat,101.08,PKR,27-11-2023,6.02,31.22,2023,11,36.15301724,High
Kenya,Wholesale,Wheat,83.61,PKR,14-01-2017,6.02,31.22,2017,1,-10.86353945,High
Sudan,Urban,Wheat,67.17,PKR,21-01-2016,6.02,31.22,2016,1,-20.46181172,High
Ethiopia,Retail,Pulses,40.73,INR,28-06-2021,6.02,31.22,2021,6,318.1724846,High
Sudan,Wholesale,Maize,59.76,PKR,04-12-2024,6.02,31.22,2024,12,-22.29879079,High
Nepal,Urban,Wheat,109.43,PKR,23-03-2016,6.02,31.22,2016,3,8.346534653,High
India,Wholesale,Rice,142.19,INR,30-01-2023,6.02,31.22,2023,1,60.08781806,High
Kenya,Urban,Wheat,63.85,ETB,21-10-2020,6.02,31.22,2020,10,-23.63353666,High
Nepal,Retail,Sugar,131.49,NPR,21-04-2021,6.02,31.22,2021,4,77.97780184,High
Pakistan,Retail,Pulses,65.52,ETB,17-12-2022,6.02,31.22,2022,12,3.507109005,High
Ethiopia,Retail,Sugar,102.91,SDG,12-02-2023,6.02,31.22,2023,2,-5.082088176,High
Nigeria,Wholesale,Wheat,57.22,KES,19-10-2017,6.02,31.22,2017,10,-44.7896565,High
Kenya,Wholesale,Wheat,153.27,PKR,14-05-2017,6.02,31.22,2017,5,140.0469851,High
Kenya,Urban,Sugar,164.26,YER,15-03-2024,6.02,31.22,2024,3,42.90934401,High
India,Rural,Unknown,70.84,NPR,11-10-2024,6.02,31.22,2024,10,,High
Yemen,Rural,Pulses,67.63,PKR,26-01-2023,6.02,31.22,2023,1,-55.66118141,High
Kenya,Retail,Wheat,124.9,HTG,11-11-2019,6.02,31.22,2019,11,-18.50981927,High
Bangladesh,Rural,Pulses,169.12,SDG,23-03-2020,6.02,31.22,2020,3,58.64915572,High
Ethiopia,Retail,Cooking Oil,164.56,YER,21-04-2023,6.02,31.22,2023,4,24.69500644,High
Ethiopia,Urban,Pulses,84.6,SDG,17-11-2022,6.02,31.22,2022,11,107.7093052,High
Bangladesh,Rural,Sugar,92.66,BDT,09-04-2022,6.02,31.22,2022,4,14.94851755,High
Haiti,Rural,Maize,50.74,HTG,10-08-2016,6.02,31.22,2016,8,-47.90554415,High
Bangladesh,Retail,Sugar,84.15,PKR,11-08-2020,6.02,31.22,2020,8,-9.184113965,High
Bangladesh,Urban,Rice,103.87,YER,23-07-2020,6.02,31.22,2020,7,-38.58933428,High
Ethiopia,Rural,Cooking Oil,46.01,YER,18-01-2016,6.02,31.22,2016,1,-72.0405931,High
Sudan,Rural,Maize,78.2,NPR,20-11-2016,6.02,31.22,2016,11,30.85676037,High
Ethiopia,Rural,Wheat,108.89,KES,09-02-2018,6.02,31.22,2018,2,-6.443852565,High
Yemen,Urban,Rice,39.2,SDG,23-03-2020,6.02,31.22,2020,3,-51.24984455,High
India,Urban,Rice,118.76,SDG,23-07-2015,6.02,31.22,2015,7,-16.47795204,High
Nepal,Rural,Cooking Oil,140.82,INR,09-11-2019,6.02,31.22,2019,11,51.19175435,High
Sudan,Retail,Maize,122.8,NPR,26-01-2015,6.02,31.22,2015,1,57.03324808,High
Nigeria,Retail,Rice,106.11,KES,20-02-2020,6.02,31.22,2020,2,54.40919674,High
Nepal,Rural,Maize,146.88,SDG,25-11-2020,6.02,31.22,2020,11,28.61646235,High
India,Urban,Maize,155.5,HTG,28-08-2019,6.02,31.22,2019,8,-3.976781524,High
Yemen,Rural,Pulses,112.71,HTG,10-05-2019,6.02,31.22,2019,5,66.65680911,High
Yemen,Urban,Rice,105.96,NGN,17-05-2017,6.02,31.22,2017,5,170.3061224,High
Nigeria,Rural,Unknown,75.21,SDG,01-10-2015,6.02,31.22,2015,10,,High
Sudan,Urban,Cooking Oil,83.73,NPR,21-12-2019,6.02,31.22,2019,12,37.66853009,High
Haiti,Wholesale,Rice,142.89,PKR,15-04-2019,6.02,31.22,2019,4,-9.351011863,High
Bangladesh,Retail,Cooking Oil,104.86,INR,26-08-2020,6.02,31.22,2020,8,-37.82758212,High
Sudan,Wholesale,Cooking Oil,83.4,KES,27-01-2019,6.02,31.22,2019,1,-0.39412397,High
Haiti,Retail,Maize,93.15,BDT,03-06-2021,6.02,31.22,2021,6,83.58297201,High
Yemen,Urban,Maize,74.11,PKR,25-03-2022,6.02,31.22,2022,3,-22.13700357,High
Ethiopia,Wholesale,Pulses,82.77,YER,02-01-2023,6.02,31.22,2023,1,-2.163120567,High
India,Retail,Pulses,49.68,SDG,29-06-2024,6.02,31.22,2024,6,-66.78700361,High
Nigeria,Rural,Rice,117.17,NPR,16-11-2017,6.02,31.22,2017,11,10.42314579,High
India,Urban,Pulses,49.28,KES,05-08-2020,6.02,31.22,2020,8,-0.805152979,High
Pakistan,Urban,Wheat,78.07,YER,02-07-2015,6.02,31.22,2015,7,-11.57548986,High
Pakistan,Rural,Rice,103.275,BDT,27-10-2024,6.02,31.22,2024,10,0,High
Sudan,Rural,Cooking Oil,47.44,INR,15-06-2022,6.02,31.22,2022,6,-43.117506,High
Yemen,Retail,Pulses,69.05,HTG,01-11-2021,6.02,31.22,2021,11,-38.73658061,High
Yemen,Urban,Pulses,105.58,ETB,26-04-2024,6.02,31.22,2024,4,52.90369298,High
Bangladesh,Retail,Pulses,143.98,NPR,02-05-2020,6.02,31.22,2020,5,-14.86518448,High
Bangladesh,Rural,Maize,156.99,KES,27-05-2019,6.02,31.22,2019,5,29.78670635,High
Bangladesh,Urban,Cooking Oil,68.43,SDG,19-01-2019,6.02,31.22,2019,1,-34.74156018,High
Nepal,Retail,Sugar,62.64,NGN,24-02-2016,6.02,31.22,2016,2,-52.3613963,High
Kenya,Retail,Sugar,83.07,SDG,06-04-2021,6.02,31.22,2021,4,-49.42773652,High
Nepal,Retail,Cooking Oil,119.72,ETB,03-01-2022,6.02,31.22,2022,1,-14.98366709,High
India,Urban,Pulses,123.49,SDG,15-03-2024,6.02,31.22,2024,3,150.588474,High
Nepal,Rural,Wheat,87.24,NPR,14-03-2017,6.02,31.22,2017,3,-20.27780316,High
Ethiopia,Rural,Wheat,95.77,NGN,14-03-2016,6.02,31.22,2016,3,-12.04885664,High
India,Retail,Rice,147.95,SDG,20-09-2022,6.02,31.22,2022,9,24.57898282,High
Nepal,Retail,Rice,99.69,NPR,17-10-2017,6.02,31.22,2017,10,-2.197586579,High
Ethiopia,Retail,Pulses,94,INR,06-06-2016,6.02,31.22,2016,6,13.56771777,High
Kenya,Retail,Rice,98.75,HTG,24-07-2016,6.02,31.22,2016,7,65.13377926,High
Nepal,Unknown,Maize,58.39,PKR,06-07-2018,6.02,31.22,2018,7,-60.24645969,High
Ethiopia,Wholesale,Unknown,67.98,YER,14-12-2016,6.02,31.22,2016,12,,High
Bangladesh,Wholesale,Cooking Oil,121.78,NGN,22-02-2024,6.02,31.22,2024,2,77.96288178,High
Yemen,Retail,Pulses,100.03,KES,23-04-2015,6.02,31.22,2015,4,-5.256677401,High
Bangladesh,Retail,Pulses,90.23,NGN,28-05-2019,6.02,31.22,2019,5,-37.33157383,High
Yemen,Rural,Sugar,77.16,BDT,18-09-2021,6.02,31.22,2021,9,-36.45721815,High
Nigeria,Urban,Wheat,78.02,KES,10-07-2020,6.02,31.22,2020,7,36.35092625,High
Nigeria,Rural,Wheat,98.19,PKR,25-04-2020,6.02,31.22,2020,4,25.85234555,High
Nigeria,Wholesale,Wheat,95.04,ETB,05-07-2024,6.02,31.22,2024,7,-3.208065995,High
Kenya,Rural,Rice,98.75,SDG,02-04-2021,6.02,31.22,2021,4,0,High
Bangladesh,Retail,Maize,82.22,BDT,26-10-2017,6.02,31.22,2017,10,-47.6272374,High
Yemen,Wholesale,Cooking Oil,73.17,HTG,21-09-2023,6.02,31.22,2023,9,-21.3648576,High
Ethiopia,Wholesale,Rice,100.34,SDG,09-08-2021,6.02,31.22,2021,8,-3.361263604,High
India,Urban,Maize,125.99,YER,26-04-2017,6.02,31.22,2017,4,-18.97749196,High
Ethiopia,Urban,Wheat,79.66,NGN,15-04-2024,6.02,31.22,2024,4,-16.82155163,High
India,Wholesale,Maize,4.51,PKR,27-08-2018,6.02,31.22,2018,8,-96.42035082,High
Pakistan,Wholesale,Rice,45.3,INR,14-11-2023,6.02,31.22,2023,11,-56.13652869,High
Ethiopia,Rural,Wheat,142.97,SDG,07-12-2022,6.02,31.22,2022,12,79.4752699,High
Nepal,Wholesale,Rice,139.75,NGN,30-09-2020,6.02,31.22,2020,9,40.18457217,High
Nepal,Retail,Cooking Oil,125.87,PKR,26-03-2020,6.02,31.22,2020,3,5.136986301,High
Sudan,Rural,Wheat,120.51,INR,27-10-2015,6.02,31.22,2015,10,79.41045109,High
Bangladesh,Retail,Maize,140.71,INR,12-05-2017,6.02,31.22,2017,5,71.13840915,High
India,Retail,Rice,86.27,ETB,21-12-2017,6.02,31.22,2017,12,-41.68976005,High
India,Retail,Sugar,105.56,SDG,25-03-2015,6.02,31.22,2015,3,,High
Bangladesh,Wholesale,Maize,69.13,SDG,08-10-2018,6.02,31.22,2018,10,-50.87058489,High
Kenya,Urban,Maize,92.99,NPR,20-08-2019,6.02,31.22,2019,8,,High
Sudan,Urban,Wheat,175.85,YER,14-10-2024,6.02,31.22,2024,10,45.92150029,High
Kenya,Retail,Pulses,66.94,ETB,15-10-2017,6.02,31.22,2017,10,-52.6323238,High
Kenya,Wholesale,Maize,53.39,NGN,12-07-2017,6.02,31.22,2017,7,-42.58522422,High
