Country,Market_Type,Commodity,Price,Currency,Date,Inflation_Rate,Hunger_Index
India,Retail,Wheat,55.74,NPR,28-03-2018,,
Sudan,Rural,Maize,92.83,ETB,24-01-2024,,31.22
Sudan,Wholesale,Cooking Oil,60.82,NPR,21-09-2020,6.02,
Nepal,Rural,Maize,120.34,HTG,24-04-2020,,31.22
Pakistan,Urban,Rice,80.83,ETB,01-01-2023,,
Bangladesh,Retail,Pulses,52.22,INR,17-02-2016,6.02,
Nepal,Wholesale,Pulses,193.03,ETB,11-08-2024,,31.22
Kenya,Rural,Rice,14.69,PKR,30-08-2018,,
Bangladesh,Wholesale,Rice,134.25,HTG,29-10-2023,6.02,31.22
India,Rural,Rice,113.84,NPR,08-01-2018,,31.22
Bangladesh,Rural,Sugar,80.61,HTG,14-10-2023,,31.22
Pakistan,Urban,Maize,63.69,KES,15-10-2019,,
Bangladesh,Urban,Rice,169.14,HTG,13-01-2019,6.02,
India,Rural,Pulses,184.96,PKR,10-11-2018,,31.22
Pakistan,Retail,Wheat,88.29,BDT,28-08-2019,6.02,
Haiti,Wholesale,Wheat,82.47,ETB,27-08-2021,,31.22
Sudan,,Sugar,145.15,KES,14-06-2015,6.02,
Sudan,Urban,Maize,90.16,KES,09-12-2016,6.02,31.22
Yemen,Retail,Maize,123.34,KES,07-06-2021,,31.22
Haiti,Rural,Maize,,NGN,12-02-2017,6.02,
Haiti,Urban, ,101.49,NPR,07-12-2017,,31.22
Bangladesh,Rural,Pulses,106.6,NPR,24-02-2018,,31.22
Sudan,Rural,Sugar,114.78,KES,03-01-2016,6.02,
India,Urban,Maize,56.46,ETB,19-05-2022,,
Ethiopia,Retail,Maize,72.81,NGN,01-07-2023,6.02,
Ethiopia,Wholesale,Rice,109.03,KES,29-12-2021,,31.22
Pakistan,,Maize,,KES,04-09-2016,6.02,
Sudan,Retail,Pulses,211.09,HTG,18-03-2015,6.02,31.22
Sudan,Rural,Rice,105.3,BDT,17-07-2022,,
Ethiopia,Urban,Rice,30.47,NGN,17-12-2023,,
Sudan,Wholesale,Maize,-12.56,ETB,09-03-2015,,
Bangladesh,Wholesale,Wheat,132.84,NPR,17-11-2017,,31.22
Kenya,Rural,Cooking Oil,,PKR,03-03-2023,6.02,
Nigeria,Urban,Pulses,157.63,BDT,13-09-2021,,31.22
Haiti,Wholesale,Wheat,74.24,PKR,05-10-2020,6.02,
yemen,Urban,Maize,95.18,YER,11-05-2018,6.02,
Pakistan,Wholesale,Maize,111.17,NPR,20-07-2016,,
Kenya,Rural,Wheat,93.8,HTG,21-08-2023,,
Ethiopia,Rural,Maize,,SDG,19-04-2022,6.02,
Haiti,Urban,Pulses,129.02,ETB,28-06-2018,6.02,
Sudan,Retail,Rice,,NGN,17-07-2021,,31.22
Yemen,Retail,Sugar,121.43,YER,06-10-2021,,31.22
Sudan,Rural,Maize,173.14,BDT,14-03-2016,6.02,31.22
India,Wholesale,Maize,166.21,KES,27-09-2021,,31.22
India,Retail,Wheat,27.76,SDG,21-05-2017,6.02,31.22
Yemen,Rural,Rice,80.41,BDT,15-05-2020,6.02,31.22
Yemen,Wholesale,Wheat,111.62,BDT,20-12-2020,6.02,
Ethiopia,Wholesale,Pulses,151.12,BDT,12-10-2021,,
Yemen,Retail,Wheat,108.4,BDT,14-07-2022,6.02,
Bangladesh,Rural,Maize,151.19,BDT,17-04-2019,,31.22
Sudan,Wholesale,Rice,73.22,SDG,22-06-2019,,31.22
Kenya,Wholesale,Pulses,113.19,PKR,04-05-2021,6.02,
Nepal,Urban,Maize,114.2,ETB,24-11-2020,6.02,31.22
Yemen,Urban,Pulses,152.53,KES,07-03-2015,,31.22
Pakistan,Retail,Maize,136.34,NPR,13-05-2023,,
India,Urban,Maize,,NGN,11-12-2017,,31.22
Bangladesh,Rural,Maize,133.97,BDT,21-07-2022,,31.22
Haiti,Retail,Sugar,51.62,NGN,24-05-2021,6.02,
Nepal,Retail,Cooking Oil,93.14,SDG,29-03-2021,,
Kenya,Urban,Rice,59.8,NGN,09-11-2023,,
Nepal,Wholesale,Sugar,73.88,PKR,18-06-2018,,31.22
Yemen,Rural,Cooking Oil,93.05,HTG,28-07-2020,6.02,31.22
Ethiopia,Rural,Pulses,9.74,YER,25-01-2016,,31.22
India,Rural,Cooking Oil,94.49,NPR,11-11-2017,,31.22
India,Retail,Cooking Oil,68.69,NPR,29-12-2016,,
Haiti,Rural,Sugar,57.76,BDT,27-06-2022,,
Ethiopia,Wholesale,Rice,103.83,INR,04-02-2023,,31.22
Sudan,Wholesale,Wheat,84.45,NGN,04-10-2024,6.02,
Nigeria,Urban,Cooking Oil,113.66,SDG,04-09-2019,,31.22
Bangladesh,Rural,Wheat,74.05,ETB,12-01-2022,6.02,
India,Retail,Wheat,92.98,HTG,28-12-2015,6.02,
Pakistan,Urban,Maize,198.35,PKR,28-02-2015,,31.22
India,Wholesale,Wheat,124.92,INR,29-04-2016,,31.22
Nepal,Rural,Pulses,66.16,NGN,29-01-2018,6.02,31.22
India,Wholesale,Pulses,149.58,YER,16-11-2019,6.02,31.22
India,Urban,Maize,161.94,KES,16-10-2022,6.02,31.22
Nigeria,Wholesale,Rice,123.95,SDG,06-12-2015,6.02,
Nigeria,Rural,Rice,68.72,PKR,30-04-2016,6.02,
Kenya,Rural,Pulses,141.32,YER,10-01-2020,,
Sudan,Urban,Maize,76.91,HTG,29-06-2022,,31.22
Pakistan,Rural,Rice,,PKR,05-11-2017,,31.22
India,Wholesale,Cooking Oil,90.36,KES,09-10-2024,6.02,31.22
India,Wholesale,Rice,88.82,HTG,01-05-2015,,
Bangladesh,Retail,Maize,120.96,YER,30-12-2023,,
Nigeria,Retail,Pulses,156.41,PKR,05-07-2021,6.02,31.22
Pakistan,Retail,Cooking Oil,194.73,ETB,01-11-2020,,31.22
Haiti,Wholesale,Wheat,101.08,PKR,27-11-2023,6.02,
Kenya,Wholesale,Wheat,83.61,PKR,14-01-2017,6.02,31.22
Sudan,Urban,Wheat,67.17,PKR,21-01-2016,6.02,31.22
Ethiopia,Retail,Pulses,40.73,INR,28-06-2021,,
Sudan,Wholesale,Maize,59.76,PKR,04-12-2024,6.02,31.22
Nepal,Urban,Wheat,109.43,PKR,23-03-2016,,31.22
India,Wholesale,Rice,142.19,INR,30-01-2023,6.02,31.22
Kenya,Urban,Wheat,63.85,ETB,21-10-2020,,31.22
Nepal,Retail,Sugar,131.49,NPR,21-04-2021,6.02,31.22
Pakistan,Retail,Pulses,65.52,ETB,17-12-2022,,
Ethiopia,Retail,Sugar,,SDG,12-02-2023,6.02,
Nigeria,Wholesale,Wheat,57.22,KES,19-10-2017,,31.22
Kenya,Wholesale,Wheat,153.27,PKR,14-05-2017,,31.22
Kenya,Urban,Sugar,164.26,YER,15-03-2024,,
India,Rural, ,70.84,NPR,11-10-2024,6.02,
Yemen,Rural,Pulses,67.63,PKR,26-01-2023,6.02,31.22
kenya,Retail,Wheat,124.9,HTG,11-11-2019,,31.22
Bangladesh,Rural,Pulses,169.12,SDG,23-03-2020,,
Ethiopia,Retail,Cooking Oil,164.56,YER,21-04-2023,,31.22
Ethiopia,Urban,Pulses,84.6,SDG,17-11-2022,6.02,31.22
Bangladesh,Rural,Sugar,92.66,BDT,09-04-2022,,
Haiti,Rural,Maize,50.74,HTG,10-08-2016,6.02,31.22
Bangladesh,Retail,Sugar,84.15,PKR,11-08-2020,,
Bangladesh,Urban,Rice,103.87,YER,23-07-2020,6.02,
Ethiopia,Rural,Cooking Oil,46.01,YER,18-01-2016,,31.22
Sudan,Rural,Maize,78.2,NPR,20-11-2016,6.02,
Ethiopia,Rural,Wheat,108.89,KES,09-02-2018,6.02,31.22
Yemen,Urban,Rice,39.2,SDG,23-03-2020,,
India,Urban,Rice,118.76,SDG,23-07-2015,,31.22
Nepal,Rural,Cooking Oil,140.82,INR,09-11-2019,,
sudan,Retail,Maize,122.8,NPR,26-01-2015,,
Nigeria,Retail,Rice,,KES,20-02-2020,,31.22
Nepal,Rural,Maize,146.88,SDG,25-11-2020,6.02,
India,Urban,Maize,155.5,HTG,28-08-2019,6.02,31.22
Yemen,Rural,Pulses,112.71,HTG,10-05-2019,6.02,
Yemen,Urban,Rice,105.96,NGN,17-05-2017,,31.22
Nigeria,Rural, ,75.21,SDG,01-10-2015,6.02,
Sudan,Urban,Cooking Oil,83.73,NPR,21-12-2019,,31.22
Haiti,Wholesale,Rice,142.89,PKR,15-04-2019,6.02,
Bangladesh,Retail,Cooking Oil,,INR,26-08-2020,6.02,31.22
Sudan,Wholesale,Cooking Oil,83.4,KES,27-01-2019,,
Haiti,Retail,Maize,93.15,BDT,03-06-2021,,31.22
Yemen,Urban,Maize,74.11,PKR,25-03-2022,,31.22
Ethiopia,Wholesale,Pulses,82.77,YER,02-01-2023,6.02,
India,Retail,Pulses,49.68,SDG,29-06-2024,6.02,31.22
Nigeria,Rural,Rice,117.17,NPR,16-11-2017,6.02,
India,Urban,Pulses,49.28,KES,05-08-2020,,31.22
Pakistan,Urban,Wheat,78.07,YER,02-07-2015,6.02,31.22
Pakistan,Rural,Rice,,BDT,27-10-2024,6.02,31.22
Sudan,Rural,Cooking Oil,47.44,INR,15-06-2022,6.02,31.22
Yemen,Retail,Pulses,69.05,HTG,01-11-2021,,
Yemen,Urban,Pulses,,ETB,26-04-2024,6.02,31.22
Bangladesh,Retail,Pulses,143.98,NPR,02-05-2020,6.02,31.22
Bangladesh,Rural,Maize,156.99,KES,27-05-2019,6.02,31.22
Bangladesh,Urban,Cooking Oil,68.43,SDG,19-01-2019,6.02,31.22
Ethiopia,Rural,Pulses,210.53,YER,20-03-2022,,
Nepal,Retail,Sugar,62.64,NGN,24-02-2016,6.02,31.22
Kenya,Retail,Sugar,83.07,SDG,06-04-2021,,
Nepal,Retail,Cooking Oil,119.72,ETB,03-01-2022,6.02,
India,Urban,Pulses,123.49,SDG,15-03-2024,,31.22
Nepal,Rural,Wheat,87.24,NPR,14-03-2017,6.02,31.22
Ethiopia,Rural,Wheat,,NGN,14-03-2016,,31.22
India,Retail,Rice,147.95,SDG,20-09-2022,6.02,31.22
Nepal,Retail,Rice,99.69,NPR,17-10-2017,6.02,31.22
Ethiopia,Retail,Pulses,94,INR,06-06-2016,6.02,
Kenya,Retail,Rice,,HTG,24-07-2016,6.02,31.22
Nepal,,Maize,58.39,PKR,06-07-2018,,31.22
Ethiopia,Wholesale, ,67.98,YER,14-12-2016,,31.22
Bangladesh,Wholesale,Cooking Oil,121.78,NGN,22-02-2024,,
Yemen,Retail,Pulses,100.03,KES,23-04-2015,6.02,31.22
Bangladesh,Retail,Pulses,90.23,NGN,28-05-2019,,
Yemen,Rural,Sugar,77.16,BDT,18-09-2021,6.02,
Nigeria,Urban,Wheat,78.02,KES,10-07-2020,,
Nigeria,Rural,Wheat,98.19,PKR,25-04-2020,6.02,
Nigeria,Wholesale,Wheat,95.04,ETB,05-07-2024,6.02,
Kenya,Rural,Rice,,SDG,02-04-2021,6.02,
Bangladesh,Retail,Maize,82.22,BDT,26-10-2017,6.02,31.22
Yemen,Wholesale,Cooking Oil,73.17,HTG,21-09-2023,6.02,31.22
Ethiopia,Wholesale,Rice,100.34,SDG,09-08-2021,,
India,Urban,Maize,125.99,YER,26-04-2017,6.02,31.22
Ethiopia,Urban,Wheat,79.66,NGN,15-04-2024,,31.22
india,Wholesale,Maize,4.51,PKR,27-08-2018,,31.22
Pakistan,Wholesale,Rice,45.3,INR,14-11-2023,6.02,
Ethiopia,Rural,Wheat,142.97,SDG,07-12-2022,6.02,31.22
Nepal,Wholesale,Rice,139.75,NGN,30-09-2020,,
Nepal,Retail,Cooking Oil,125.87,PKR,26-03-2020,,
Sudan,Rural,Wheat,120.51,INR,27-10-2015,6.02,31.22
Bangladesh,Retail,Maize,140.71,INR,12-05-2017,,
India,Retail,Rice,86.27,ETB,21-12-2017,,31.22
India,Retail,Sugar,105.56,SDG,25-03-2015,,31.22
Bangladesh,Wholesale,Maize,69.13,SDG,08-10-2018,6.02,31.22
Kenya,Urban,Maize,92.99,NPR,20-08-2019,,
Sudan,Urban,Wheat,175.85,YER,14-10-2024,6.02,
Kenya,Retail,Pulses,66.94,ETB,15-10-2017,,31.22
Kenya,Wholesale,Maize,53.39,NGN,12-07-2017,,
Kenya,Rural,Rice,92.25,HTG,08-06-2017,6.02,31.22
Bangladesh,Retail,Sugar,84,HTG,07-02-2019,6.02,31.22
Kenya,Rural,Cooking Oil,110.64,BDT,17-07-2019,6.02,31.22
Nepal,Rural,Sugar,131.71,YER,03-07-2017,6.02,
Nigeria,Wholesale,Rice,85.02,NPR,19-07-2020,,31.22
Pakistan,Wholesale,Wheat,184.27,KES,17-05-2016,,
India,Urban,Rice,149.23,BDT,24-11-2016,,31.22
India,Urban,Pulses,69.46,HTG,16-11-2020,,31.22
Pakistan,Wholesale, ,,NPR,22-09-2019,,31.22
Bangladesh,Retail,Pulses,121.14,NGN,28-06-2017,,31.22
Ethiopia,Urban,Maize,66.84,ETB,22-08-2018,,31.22
Bangladesh,Rural,Wheat,17.41,ETB,11-09-2022,6.02,31.22
India,Retail,Pulses,177.18,YER,20-06-2021,,31.22
India,Rural,Cooking Oil,55.72,NPR,30-09-2019,6.02,
Pakistan,Wholesale,Cooking Oil,,SDG,05-01-2019,,31.22
Kenya,Rural,Rice,128.02,ETB,13-04-2021,,31.22
Bangladesh,Retail,Pulses,67.37,SDG,01-05-2021,,31.22
Yemen,Wholesale,Maize,178.4,INR,12-05-2019,,31.22
Pakistan,Retail,Cooking Oil,102.58,NPR,29-02-2016,6.02,31.22
Nepal,Rural,Sugar,105.51,NPR,05-03-2017,,31.22
India,Retail,Wheat,38.47,YER,17-12-2017,,31.22
Pakistan,Wholesale,Sugar,15.52,YER,16-02-2019,,31.22
Bangladesh,Rural,Cooking Oil,90.3,INR,29-06-2021,,
India,Rural,Cooking Oil,151.89,HTG,02-12-2023,,31.22
Ethiopia,Urban,Rice,25.53,SDG,10-10-2022,,
Pakistan,Urban,Rice,105.81,INR,03-03-2019,6.02,
Sudan,Retail,Pulses,,KES,27-04-2017,6.02,
India,Urban,Wheat,149.64,PKR,03-03-2015,6.02,
Bangladesh,Urban,Pulses,140.66,NGN,25-03-2022,6.02,31.22
Nigeria,Urban,Rice,105.61,BDT,20-08-2017,6.02,31.22
Yemen,Urban,Maize,96.26,NPR,31-01-2024,6.02,
Haiti,Wholesale,Wheat,71.21,NGN,28-09-2024,6.02,31.22
Kenya,Wholesale,Maize,54.18,ETB,20-11-2019,,
Haiti,Urban,Pulses,74.94,BDT,26-12-2022,6.02,
Bangladesh,Retail,Rice,55.73,SDG,06-06-2024,6.02,
Nepal,Wholesale,Wheat,95.8,NPR,29-05-2016,6.02,
Nepal,Urban,Pulses,98.61,ETB,17-01-2017,6.02,
Nigeria,Wholesale,Cooking Oil,89.01,KES,29-09-2020,,31.22
Kenya,Rural,Pulses,104.37,BDT,08-09-2016,6.02,
Sudan,Wholesale,Sugar,81.63,SDG,09-04-2015,6.02,31.22
Nigeria,Wholesale,Cooking Oil,133.67,NPR,19-11-2015,6.02,
Haiti,Retail,Maize,109.15,SDG,24-03-2022,6.02,
Nigeria,Wholesale,Cooking Oil,80.64,ETB,04-01-2019,,
Haiti,Retail,Pulses,53.34,HTG,17-09-2021,,31.22
India,Rural,Cooking Oil,96.74,YER,09-04-2020,6.02,31.22
nepal,Urban,Sugar,145.65,HTG,11-12-2018,,31.22
India,Retail,Pulses,123.58,NPR,04-06-2015,6.02,
Yemen,Wholesale,Sugar,130.33,KES,25-06-2016,,31.22
Kenya,Wholesale,Cooking Oil,128.96,NGN,26-05-2015,,
Sudan,Retail,Sugar,148.63,HTG,21-02-2023,,31.22
Haiti,Rural,Cooking Oil,134.48,SDG,12-06-2018,,
Sudan,Urban,Wheat,105.96,YER,06-02-2019,6.02,31.22
Haiti,Wholesale,Cooking Oil,83.72,YER,23-11-2018,,
Bangladesh,Rural,Rice,135.04,YER,13-05-2017,6.02,31.22
Nigeria,Urban,Sugar,3.24,YER,23-06-2019,6.02,
Yemen,Urban,Sugar,150.7,KES,23-01-2019,,
Nepal,Wholesale,Maize,127.6,INR,12-07-2022,,31.22
Haiti,Retail,Maize,165.54,KES,27-02-2017,,31.22
Sudan,Wholesale,Rice,55.22,PKR,15-04-2020,6.02,31.22
Yemen,Wholesale,Sugar,146.48,SDG,05-08-2024,6.02,31.22
Ethiopia,Wholesale,Sugar,126.54,NPR,14-09-2015,,
Ethiopia,Rural,Maize,75.7,INR,25-07-2022,6.02,
India,Retail,Maize,94.55,HTG,14-03-2016,,31.22
Nepal,Rural,Cooking Oil,91.75,ETB,20-06-2016,,
Bangladesh,Wholesale,Pulses,85.4,ETB,31-01-2021,,31.22
Sudan,Retail,Sugar,46.05,INR,13-12-2016,,31.22
Nigeria,Urban,Sugar,146.97,ETB,05-01-2020,6.02,
Nigeria,Retail,Cooking Oil,62.15,SDG,13-12-2021,,31.22
Sudan,Wholesale,Sugar,58.01,KES,30-07-2018,6.02,31.22
Kenya,,Rice,147.97,ETB,06-04-2022,6.02,
Bangladesh,Urban,Maize,43.89,NGN,22-02-2022,6.02,31.22
Yemen,Urban,Maize,87.89,SDG,07-08-2015,,
haiti,Retail,Pulses,60.23,NPR,27-05-2023,6.02,31.22
Kenya,Urban,Maize,165.47,YER,25-03-2018,,
Haiti,Rural,Wheat,145.75,YER,26-02-2015,6.02,31.22
Haiti,Retail,Rice,67.13,ETB,15-03-2019,,
Kenya,Urban,Rice,60.12,BDT,12-01-2017,,31.22
India,Urban,Cooking Oil,130.69,PKR,13-07-2021,6.02,
Ethiopia,Retail,Wheat,117.33,KES,29-07-2022,6.02,31.22
Haiti,Rural,Sugar,85.84,NPR,19-07-2018,6.02,31.22
Kenya,Retail,Pulses,82.14,BDT,17-10-2019,,31.22
Kenya,Urban,Rice,90.65,KES,16-09-2017,,
Pakistan,Retail,Wheat,136.08,PKR,30-11-2023,,
India,Urban,Wheat,162.83,SDG,16-03-2024,6.02,
Nepal,Wholesale,Rice,172.91,YER,19-02-2023,,31.22
Pakistan,Retail,Cooking Oil,70.62,SDG,29-10-2015,,31.22
Pakistan,Retail,Wheat,102.32,KES,09-10-2017,,
sudan,,Maize,153.74,YER,04-09-2015,,
Ethiopia,Urban,Wheat,65.18,HTG,25-08-2020,6.02,
Kenya,Urban,Sugar,72.72,ETB,20-09-2018,,
Ethiopia,Urban,Rice,131.87,INR,30-07-2015,6.02,31.22
Bangladesh,Retail,Sugar,81.25,NPR,29-05-2019,,
Sudan,Urban,Cooking Oil,40.98,KES,28-10-2018,,31.22
Nepal,Retail,Pulses,66.92,KES,04-11-2022,,31.22
Ethiopia,Rural,Maize,139.61,PKR,30-11-2018,6.02,
Nigeria,Retail,Rice,109.96,HTG,10-11-2024,,
Haiti,Urban,Wheat,37.51,BDT,11-11-2017,6.02,31.22
Bangladesh,Urban,Maize,75.64,KES,19-04-2022,,
India,,Wheat,172.91,INR,29-04-2015,6.02,
Nepal,Retail,Cooking Oil,97.22,SDG,01-04-2019,,
Bangladesh,Rural,Pulses,90.26,KES,30-11-2023,6.02,31.22
Haiti,Retail,Rice,100.33,PKR,19-03-2019,6.02,
Sudan,Urban,Cooking Oil,108.21,BDT,24-02-2019,,31.22
Haiti,Retail,Cooking Oil,84.37,NPR,20-05-2016,,
Pakistan,Urban,Pulses,153.62,ETB,14-11-2019,6.02,31.22
Haiti,Urban,Cooking Oil,81.16,YER,12-03-2016,,31.22
Pakistan,Wholesale,Cooking Oil,139.75,YER,13-03-2017,,
Sudan,Wholesale,Wheat,172.9,PKR,12-09-2023,,
Yemen,Retail,Sugar,,SDG,13-04-2015,6.02,
Pakistan,Urban,Wheat,,KES,24-12-2023,6.02,
India,Rural,Pulses,107.53,KES,12-08-2019,,
Haiti,Urban,Maize,77.45,ETB,05-12-2016,,31.22
Haiti,Rural,Pulses,135.92,HTG,04-04-2017,6.02,31.22
India,Retail,Pulses,108.29,NPR,06-12-2017,,31.22
Nigeria,Retail,Pulses,95.24,HTG,07-05-2020,,
Kenya,Rural,Pulses,59.67,BDT,31-10-2015,6.02,31.22
Yemen,Rural,Cooking Oil,25.56,PKR,23-01-2021,,31.22
Nepal,Urban, ,,INR,08-05-2016,6.02,
Pakistan,Retail,Maize,126.04,INR,28-03-2015,,
India,Urban,Pulses,147.31,YER,11-01-2024,6.02,
Sudan,Rural,Wheat,87.6,ETB,07-12-2020,6.02,
Pakistan,Wholesale,Cooking Oil,62.21,YER,03-05-2020,,
Kenya,Wholesale,Wheat,107.59,SDG,02-02-2024,6.02,
Sudan,Wholesale,Cooking Oil,127.54,HTG,16-10-2024,,31.22
Bangladesh,Rural,Wheat,131.09,NPR,13-03-2023,6.02,
